,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,atuona,88,100,-9.8,-139.03,80.45,16.67
1,isangel,20,100,-19.55,169.27,80.18,16.67
2,santa marta,75,55,11.24,-74.21,89.6,18.34
3,port blair,92,100,11.67,92.75,83.51,5.93
4,ucluelet,20,45,48.94,-125.55,48.2,20.8
5,faanui,56,97,-16.48,-151.75,83.33,13.31
6,pacific grove,40,72,36.62,-121.92,63.1,10.29
7,marystown,24,81,47.17,-55.16,34.96,19.46
8,zhigansk,64,71,66.77,123.37,9.08,8.84
9,victoria,92,78,-4.62,55.45,82.4,4.7
10,busselton,0,94,-33.64,115.35,70.73,13.76
11,nyurba,0,66,63.29,118.35,-0.42,4.59
12,cherskiy,0,74,68.75,161.3,25.64,7.27
13,lola,44,91,7.8,-8.53,72.17,2.57
14,goundam,24,35,16.42,-3.66,81.26,4.25
15,petatlan,5,66,17.52,-101.27,86.0,9.17
16,bethel,1,73,60.79,-161.76,26.6,20.8
17,ahipara,36,92,-35.17,173.16,62.63,4.14
18,butembo,64,99,0.12,29.29,61.73,2.01
19,saint george,75,73,32.38,-64.68,69.8,4.7
20,baiyin,0,34,36.55,104.13,48.2,8.95
21,bergen,75,81,52.81,9.96,45.52,9.17
22,kununurra,0,83,-15.77,128.74,77.0,4.92
23,ribeira grande,56,100,38.52,-28.7,60.79,27.96
24,korla,8,85,41.76,86.15,32.57,3.69
25,gohpur,32,78,26.89,93.63,61.69,2.35
26,port-gentil,40,88,-0.72,8.78,78.8,8.05
27,majene,24,100,-3.54,118.97,82.25,3.69
28,mangan,12,80,27.5,88.54,26.14,1.68
29,conde,0,77,-11.81,-37.61,81.49,7.83
30,kattivakkam,40,83,13.22,80.32,84.2,5.82
31,la rioja,32,65,-29.41,-66.86,74.96,3.36
32,sauce,75,88,-6.69,-76.22,75.2,3.36
33,cervo,20,84,43.67,-7.41,56.83,20.24
34,baruun-urt,0,40,46.68,113.28,14.48,8.05
35,iqaluit,75,80,63.75,-68.52,30.2,26.4
36,muros,75,93,42.77,-9.06,51.8,20.8
37,camargo,0,9,27.69,-105.17,85.09,5.93
38,sola,92,100,-13.88,167.55,78.16,9.62
39,damietta,40,88,31.42,31.81,64.4,8.05
40,saskylakh,12,60,71.97,114.09,-6.9,9.28
41,kalmunai,8,100,7.42,81.82,71.99,2.8
42,meulaboh,0,100,4.14,96.13,78.61,4.47
43,hervey bay,92,99,-25.3,152.85,75.46,14.2
44,buraydah,75,64,26.33,43.97,69.8,17.22
45,boyolangu,32,95,-8.09,111.9,69.29,2.8
46,nadym,44,75,65.53,72.51,0.35,13.42
47,surovikino,80,80,48.61,42.84,46.34,15.32
48,georgetown,88,100,-7.93,-14.42,79.78,9.73
49,khasan,92,73,42.43,130.64,42.92,11.07
50,rikitea,44,100,-23.12,-134.97,77.98,6.6
51,biltine,0,23,14.53,20.93,70.55,7.49
52,skagen,36,100,57.72,10.58,35.36,3.24
53,ossora,92,99,59.24,163.07,32.71,16.11
54,east longmeadow,20,52,42.06,-72.51,40.68,8.05
55,ayorou,56,14,14.73,0.92,89.41,9.95
56,eureka,1,62,40.8,-124.16,55.65,14.99
57,cairns,75,83,-16.92,145.77,77.0,4.7
58,novyy urgal,48,57,51.07,132.56,18.98,12.75
59,bandarbeyla,92,100,9.49,50.81,80.23,7.49
60,san juan de la maguana,20,51,18.81,-71.23,84.2,18.34
61,port hedland,24,83,-20.31,118.58,78.8,5.82
62,umred,0,39,20.85,79.32,78.8,2.24
63,waingapu,24,97,-9.65,120.26,71.45,3.58
64,punta arenas,75,93,-53.16,-70.91,48.2,5.82
65,misratah,0,91,32.38,15.09,57.95,10.96
66,portree,80,100,57.41,-6.19,38.69,22.37
67,taltal,0,71,-25.41,-70.49,65.83,3.47
68,matadi,92,100,-5.83,13.46,76.54,4.47
69,qaanaaq,0,80,77.48,-69.36,1.39,6.6
70,pollachi,40,83,10.66,77.01,78.8,4.7
71,khuzhir,0,76,53.19,107.35,6.2,4.59
72,pisco,0,61,-13.71,-76.2,78.8,12.75
73,jamestown,0,100,-15.94,-5.72,75.64,15.99
74,fort-shevchenko,0,80,44.51,50.26,46.7,23.71
75,chabahar,0,95,25.29,60.65,77.98,8.28
76,mayo,75,29,63.59,-135.9,21.2,13.87
77,kaohsiung,75,73,22.62,120.31,70.63,3.36
78,mwanza,36,91,-15.61,34.52,68.57,2.91
79,shenjiamen,48,91,29.96,122.3,59.93,16.11
80,lapua,0,79,62.97,23.01,25.77,10.29
81,butaritari,12,98,3.07,172.79,83.24,13.76
82,podporozhye,92,98,60.91,34.16,40.04,16.44
83,mildura,0,90,-34.18,142.16,52.51,8.95
84,naze,92,100,28.37,129.48,68.44,10.18
85,kontagora,24,39,10.4,5.47,82.39,6.6
86,hami,0,56,42.84,93.51,41.93,6.15
87,corum,0,87,38.8,29.89,31.81,2.57
88,sioux lookout,20,30,50.1,-91.92,11.46,3.36
89,taoudenni,68,19,22.68,-3.98,79.64,6.15
90,port keats,12,94,-14.25,129.55,79.51,2.68
91,lavrentiya,44,100,65.58,-170.99,25.46,3.58
92,varhaug,0,100,58.61,5.65,32.0,5.03
93,reconquista,75,69,-29.14,-59.64,78.8,4.7
94,luanda,12,87,-8.83,13.24,80.18,5.93
95,askiz,64,66,53.13,90.53,7.24,2.57
96,kalur kot,92,87,32.16,71.27,64.84,7.83
97,boromo,92,19,11.74,-2.93,89.0,10.74
98,auki,92,100,-8.77,160.7,76.94,1.45
99,durres,0,93,41.32,19.44,46.4,4.7
100,leua,24,93,-11.65,20.45,66.68,2.91
101,anzio,0,71,41.45,12.63,50.63,4.7
102,pastavy,76,86,55.11,26.84,34.33,21.7
103,daru,80,100,-9.07,143.21,77.48,8.39
104,kuah,75,83,6.33,99.84,78.53,3.36
105,deputatskiy,32,37,69.3,139.9,-12.34,2.57
106,markala,80,47,13.69,-6.07,84.23,3.36
107,alice springs,0,52,-23.7,133.88,64.4,4.7
108,vizinga,92,88,61.08,50.08,32.53,11.74
109,muhos,76,92,64.81,26.0,28.4,8.05
110,caarapo,48,88,-22.63,-54.82,75.95,4.36
111,premia de mar,88,82,41.49,2.37,55.38,3.36
112,lebu,8,92,-37.62,-73.65,59.3,12.64
113,kapaa,90,94,22.08,-159.32,71.31,13.87
114,yulara,0,46,-25.24,130.99,69.8,8.05
115,coquimbo,0,63,-29.95,-71.34,64.4,12.75
116,palauig,68,100,15.44,119.9,71.68,3.47
117,alcudia,0,82,39.85,3.12,55.4,2.24
118,cabra,12,82,37.47,-4.43,56.26,8.05
119,kangaatsiaq,44,100,68.31,-53.46,23.66,2.68
120,thessalon,1,67,46.26,-83.55,34.16,10.29
121,vila franca do campo,40,67,37.72,-25.43,59.0,23.04
122,jiuquan,0,68,39.73,98.49,23.53,1.12
123,qasigiannguit,0,67,68.82,-51.19,19.4,2.57
124,awbari,8,21,26.59,12.77,72.31,10.51
125,severo-kurilsk,88,100,50.68,156.12,29.15,14.43
126,kosh-agach,20,60,49.99,88.66,-0.73,4.03
127,khatanga,64,65,71.98,102.47,-8.43,8.61
128,srednekolymsk,0,81,67.46,153.71,22.18,6.71
129,clyde river,90,85,70.47,-68.59,10.4,17.22
130,mitsamiouli,12,100,-11.38,43.28,81.89,5.59
131,sayyan,32,27,15.17,44.32,57.23,3.91
132,kuytun,12,62,54.34,101.51,8.9,4.36
133,namibe,80,100,-15.19,12.15,79.33,5.93
134,arlit,48,29,18.74,7.39,75.59,4.59
135,kutum,0,16,14.2,24.66,61.73,9.17
136,lorengau,76,100,-2.02,147.27,79.96,7.72
137,racine,75,51,42.73,-87.78,36.72,12.75
138,kovur,0,83,14.5,79.99,75.19,6.82
139,north myrtle beach,1,77,33.83,-78.68,73.76,13.87
140,kysyl-syr,12,58,63.9,122.77,2.24,9.28
141,caborca,76,16,30.58,-111.1,78.79,13.42
142,verkhnyaya inta,0,72,65.99,60.32,1.03,3.36
143,guarda,64,85,40.54,-7.27,49.76,10.63
144,magadi,20,92,-1.9,36.29,61.82,3.58
145,anadyr,90,85,64.73,177.51,24.8,2.24
146,idritsa,92,92,56.33,28.9,31.85,18.9
